"sim.start","sim.end","sim_name","SimDay"
145,258,"Lower Beaver Creek_Chinook_Age_1",17
145,258,"Lower Beaver Creek_Chinook_Age_1",18
145,258,"Lower Beaver Creek_Chinook_Age_1",19
145,258,"Lower Beaver Creek_Chinook_Age_1",20
145,258,"Lower Beaver Creek_Chinook_Age_1",21
145,258,"Lower Beaver Creek_Chinook_Age_1",22
145,258,"Lower Beaver Creek_Chinook_Age_1",23
145,258,"Lower Beaver Creek_Chinook_Age_1",24
145,258,"Lower Beaver Creek_Chinook_Age_1",25
145,258,"Lower Beaver Creek_Chinook_Age_1",26
145,258,"Lower Beaver Creek_Chinook_Age_1",27
145,258,"Lower Beaver Creek_Chinook_Age_1",28
145,258,"Lower Beaver Creek_Chinook_Age_1",29
145,258,"Lower Beaver Creek_Chinook_Age_1",30
145,258,"Lower Beaver Creek_Chinook_Age_1",31
145,258,"Lower Beaver Creek_Chinook_Age_1",32
145,258,"Lower Beaver Creek_Chinook_Age_1",33
145,258,"Lower Beaver Creek_Chinook_Age_1",34
145,258,"Lower Beaver Creek_Chinook_Age_1",35
145,258,"Lower Beaver Creek_Chinook_Age_1",36
145,258,"Lower Beaver Creek_Chinook_Age_1",37
145,258,"Lower Beaver Creek_Chinook_Age_1",38
145,258,"Lower Beaver Creek_Chinook_Age_1",39
145,258,"Lower Beaver Creek_Chinook_Age_1",40
145,258,"Lower Beaver Creek_Chinook_Age_1",41
145,258,"Lower Beaver Creek_Chinook_Age_1",42
145,258,"Lower Beaver Creek_Chinook_Age_1",43
145,258,"Lower Beaver Creek_Chinook_Age_1",44
145,258,"Lower Beaver Creek_Chinook_Age_1",45
145,258,"Lower Beaver Creek_Chinook_Age_1",46
145,258,"Lower Beaver Creek_Chinook_Age_1",47
145,258,"Lower Beaver Creek_Chinook_Age_1",48
145,258,"Lower Beaver Creek_Chinook_Age_1",49
145,258,"Lower Beaver Creek_Chinook_Age_1",50
145,258,"Lower Beaver Creek_Chinook_Age_1",51
145,258,"Lower Beaver Creek_Chinook_Age_1",52
145,258,"Lower Beaver Creek_Chinook_Age_1",53
145,258,"Lower Beaver Creek_Chinook_Age_1",54
145,258,"Lower Beaver Creek_Chinook_Age_1",55
145,258,"Lower Beaver Creek_Chinook_Age_1",56
145,258,"Lower Beaver Creek_Chinook_Age_1",57
145,258,"Lower Beaver Creek_Chinook_Age_1",58
145,258,"Lower Beaver Creek_Chinook_Age_1",59
145,258,"Lower Beaver Creek_Chinook_Age_1",60
145,258,"Lower Beaver Creek_Chinook_Age_1",61
145,258,"Lower Beaver Creek_Chinook_Age_1",62
145,258,"Lower Beaver Creek_Chinook_Age_1",63
145,258,"Lower Beaver Creek_Chinook_Age_1",64
145,258,"Lower Beaver Creek_Chinook_Age_1",65
145,258,"Lower Beaver Creek_Chinook_Age_1",66
145,258,"Lower Beaver Creek_Chinook_Age_1",67
145,258,"Lower Beaver Creek_Chinook_Age_1",68
145,258,"Lower Beaver Creek_Chinook_Age_1",69
145,258,"Lower Beaver Creek_Chinook_Age_1",70
145,258,"Lower Beaver Creek_Chinook_Age_1",71
145,258,"Lower Beaver Creek_Chinook_Age_1",72
145,258,"Lower Beaver Creek_Chinook_Age_1",73
145,258,"Lower Beaver Creek_Chinook_Age_1",74
145,258,"Lower Beaver Creek_Chinook_Age_1",75
145,258,"Lower Beaver Creek_Chinook_Age_1",76
145,258,"Lower Beaver Creek_Chinook_Age_1",77
145,258,"Lower Beaver Creek_Chinook_Age_1",78
145,258,"Lower Beaver Creek_Chinook_Age_1",79
145,258,"Lower Beaver Creek_Chinook_Age_1",80
145,258,"Lower Beaver Creek_Chinook_Age_1",81
145,258,"Lower Beaver Creek_Chinook_Age_1",82
145,258,"Lower Beaver Creek_Chinook_Age_1",83
145,258,"Lower Beaver Creek_Chinook_Age_1",84
145,258,"Lower Beaver Creek_Chinook_Age_1",85
145,258,"Lower Beaver Creek_Chinook_Age_1",86
145,258,"Lower Beaver Creek_Chinook_Age_1",87
145,258,"Lower Beaver Creek_Chinook_Age_1",88
145,258,"Lower Beaver Creek_Chinook_Age_1",89
145,258,"Lower Beaver Creek_Chinook_Age_1",90
145,258,"Lower Beaver Creek_Chinook_Age_1",91
145,258,"Lower Beaver Creek_Chinook_Age_1",92
145,258,"Lower Beaver Creek_Chinook_Age_1",93
145,258,"Lower Beaver Creek_Chinook_Age_1",94
145,258,"Lower Beaver Creek_Chinook_Age_1",95
145,258,"Lower Beaver Creek_Chinook_Age_1",96
145,258,"Lower Beaver Creek_Chinook_Age_1",97
145,258,"Lower Beaver Creek_Chinook_Age_1",98
145,258,"Lower Beaver Creek_Chinook_Age_1",99
145,258,"Lower Beaver Creek_Chinook_Age_1",100
145,258,"Lower Beaver Creek_Chinook_Age_1",101
145,258,"Lower Beaver Creek_Chinook_Age_1",102
145,258,"Lower Beaver Creek_Chinook_Age_1",103
145,258,"Lower Beaver Creek_Chinook_Age_1",104
145,258,"Lower Beaver Creek_Chinook_Age_1",105
145,258,"Lower Beaver Creek_Chinook_Age_1",106
145,258,"Lower Beaver Creek_Chinook_Age_1",107
145,258,"Lower Beaver Creek_Chinook_Age_1",108
145,258,"Lower Beaver Creek_Chinook_Age_1",109
145,258,"Lower Beaver Creek_Chinook_Age_1",110
145,258,"Lower Beaver Creek_Chinook_Age_1",111
145,258,"Lower Beaver Creek_Chinook_Age_1",112
145,258,"Lower Beaver Creek_Chinook_Age_1",113
146,259,"Middle Beaver Creek_Chinook_Age_1",1
146,259,"Middle Beaver Creek_Chinook_Age_1",2
146,259,"Middle Beaver Creek_Chinook_Age_1",3
146,259,"Middle Beaver Creek_Chinook_Age_1",4
146,259,"Middle Beaver Creek_Chinook_Age_1",5
146,259,"Middle Beaver Creek_Chinook_Age_1",6
146,259,"Middle Beaver Creek_Chinook_Age_1",7
146,259,"Middle Beaver Creek_Chinook_Age_1",8
146,259,"Middle Beaver Creek_Chinook_Age_1",9
146,259,"Middle Beaver Creek_Chinook_Age_1",10
146,259,"Middle Beaver Creek_Chinook_Age_1",11
146,259,"Middle Beaver Creek_Chinook_Age_1",12
146,259,"Middle Beaver Creek_Chinook_Age_1",13
146,259,"Middle Beaver Creek_Chinook_Age_1",14
146,259,"Middle Beaver Creek_Chinook_Age_1",15
146,259,"Middle Beaver Creek_Chinook_Age_1",16
146,259,"Middle Beaver Creek_Chinook_Age_1",17
146,259,"Middle Beaver Creek_Chinook_Age_1",18
146,259,"Middle Beaver Creek_Chinook_Age_1",19
146,259,"Middle Beaver Creek_Chinook_Age_1",20
146,259,"Middle Beaver Creek_Chinook_Age_1",21
146,259,"Middle Beaver Creek_Chinook_Age_1",22
146,259,"Middle Beaver Creek_Chinook_Age_1",23
146,259,"Middle Beaver Creek_Chinook_Age_1",24
146,259,"Middle Beaver Creek_Chinook_Age_1",25
146,259,"Middle Beaver Creek_Chinook_Age_1",26
146,259,"Middle Beaver Creek_Chinook_Age_1",27
146,259,"Middle Beaver Creek_Chinook_Age_1",28
146,259,"Middle Beaver Creek_Chinook_Age_1",29
146,259,"Middle Beaver Creek_Chinook_Age_1",30
146,259,"Middle Beaver Creek_Chinook_Age_1",31
146,259,"Middle Beaver Creek_Chinook_Age_1",32
146,259,"Middle Beaver Creek_Chinook_Age_1",33
