"","Day","Temperature.C","Weight.g","Cum.Net.Production.g","Net.Production.J","Cum.Net.Production.J","Net.Production.g","Gross.Production.g","Cum.Gross.Production.g","Gross.Production.J","Cum.Gross.Production.J","Specific.Growth.Rate.J.g.d","Specific.Consumption.Rate.g.g.d","Gametic.Production.g","Mean.Prey.Energy.Density.J.g","Final.Predator.Energy.Density.J.g","Specific.Respiration.Rate.J.g.d","Consumption.J","Specific.Consumption.Rate.J.g.d","Specific.Growth.Rate.g.g.d","Specific.Egestion.Rate.J.g.d","Specific.Excretion.Rate.J.g.d","Cum.Cons.J","Cum.Cons.g","Specific.SDA.Rate.J.g.d","Consumption.g","Initial.Predator.Energy.Density.J.g","Cum.Gametic.Production.J","Simulation"
"1122",17,16.7,7.96153495591777,1.14861315591777,379.17189166376,6636.19017105559,0.0656161640553226,0.797972466130865,11.6819786400653,4604.92783794181,67408.3017012998,48.0212501747783,0.0743667290438346,0,4244,5770.85007346653,128.005686020351,2492.04986480279,315.612398062034,0.0113150919356217,60.0201636493195,35.6034338985988,37022.2459361777,8.7234321244528,43.9618643189869,0.587193653346557,5770.78537592878,0,"2016_Mid-Summer_Middle Russian River_Coho_Age_1"
"1123",18,17.3,8.02149703928453,1.20857523928453,346.506445077034,6982.69661613262,0.0599620833667576,0.826221118854971,12.5081997589203,4767.99820444381,72176.2999057436,43.5225678208544,0.0756835335819298,0,4244,5770.90919608073,135.124287468873,2557.25232476042,321.20091652171,0.0102550819559035,60.7147952341826,37.0356531363454,39579.4982609381,9.32598922265272,44.8036128614547,0.602557098199911,5770.85007346653,0,"2016_Mid-Summer_Middle Russian River_Coho_Age_1"
"1124",19,16.9,8.08570640152782,1.27278460152782,371.058308601834,7353.75492473445,0.0642093622432913,0.815521729422214,13.3237214883425,4706.30184792632,76882.60175367,46.2579873538083,0.0745722371857505,0,4244,5770.97250651191,130.092376539311,2538.68007826408,316.484574616325,0.0108996200173912,60.0633685463687,35.9663947328046,42118.1783392022,9.92417020245104,44.1044474440325,0.598180979798322,5770.90919608073,0,"2016_Mid-Summer_Middle Russian River_Coho_Age_1"
"1125",20,17.8,8.13976995828192,1.32684815828192,312.43320363957,7666.18812837402,0.0540635567540999,0.854220716014948,14.1779422043575,4929.68426661518,81812.2860202851,38.6401865371386,0.0763806606043307,0,4244,5771.02581317887,141.232920942828,2621.05873512737,324.15952360478,0.00910466223778006,60.9762650516533,38.0426306020222,44739.2370743296,10.5417617988524,45.2675204711377,0.617591596401361,5770.97250651191,0,"2016_Mid-Summer_Middle Russian River_Coho_Age_1"
"1126",21,18,8.1911222780048,1.3782004780048,296.7703069527,7962.95843532672,0.0513523197228825,0.865595759808341,15.0435379641658,4995.37547363211,86807.6614939172,36.4592990310183,0.0765974473618607,0,4244,5771.07644656611,143.755869317539,2646.0728902924,325.079566603737,0.00859078676508443,61.0327377073692,38.4156059776355,47385.309964622,11.1652473997696,45.4160545701752,0.623485600917155,5771.02581317887,0,"2016_Mid-Summer_Middle Russian River_Coho_Age_1"
"1127",22,17.5,8.24922237527023,1.43630057527023,335.772673566124,8298.73110889285,0.0581000972654291,0.851661014623104,15.8951989787889,4915.00082194999,91722.6623158672,40.9922672583899,0.0755221776736331,0,4244,5771.13373326202,137.108015748945,2625.38674775806,320.516122046899,0.00965887541432372,60.4663468630075,37.2209308449269,50010.69671238,11.7838587917955,44.7285613316293,0.618611392025933,5771.07644656611,0,"2016_Mid-Summer_Middle Russian River_Coho_Age_1"
"1128",23,16.3,8.31898290589813,1.50606110589813,403.169563504775,8701.90067239762,0.0697605306278941,0.807623875475559,16.7028228542645,4660.9053915448,96383.567707412,48.8736447102467,0.0723238843759225,0,4244,5771.20251714522,122.633340427499,2532.03747752479,306.942565291415,0.0115159389043937,58.6146447800635,34.1085330456538,52542.7341899048,12.3804745970558,42.7124023279525,0.596615805260317,5771.13373326202,0,"2016_Mid-Summer_Middle Russian River_Coho_Age_1"
"1129",24,15.9,8.39130393923227,1.57838213923227,417.977701244532,9119.87837364216,0.0723210333341466,0.794501252850044,17.4973241071145,4585.2276303232,100968.795337735,50.2438466303601,0.0708553624435899,0,4244,5771.27382568408,118.088750563402,2501.60266578387,300.710158210596,0.0118387951532422,57.670030125306,32.9046288608578,55044.3368556887,12.9699191460152,41.8029020306698,0.589444548959441,5771.20251714522,0,"2016_Mid-Summer_Middle Russian River_Coho_Age_1"
"1130",25,15.5,8.46540785801522,1.65248605801522,428.292544269874,9548.17091791203,0.0741039187829475,0.780143055373018,18.2774671624875,4502.41919576351,105471.214533499,51.0400466210569,0.0692268851013139,0,4244,5771.346892148,113.723495879655,2465.35587001669,293.798900369976,0.0120264011830954,56.5919843064143,31.6437839999178,57509.6927257054,13.5508229796667,40.7995895629326,0.580903833651435,5771.27382568408,0,"2016_Mid-Summer_Middle Russian River_Coho_Age_1"
"1131",26,14.9,8.54047879537165,1.72755699537165,433.892586768007,9982.06350468004,0.0750709373564327,0.75338127592362,19.0308484384111,4348.02468540428,109819.239218903,51.2547763847182,0.0665501135185458,0,4244,5771.42091209224,107.567617594818,2390.95863608614,282.438681772708,0.0120769972631287,54.7749304945062,29.6831920788146,59900.6513617915,14.1141968335984,39.1581652198507,0.563373853931702,5771.346892148,0,"2016_Mid-Summer_Middle Russian River_Coho_Age_1"
